trend; pattern; quantile; daysRet; mean; SE; t; paval
20;rising_three;260;10;-0,012757;0,0124502;-1,46653;0,081577;*
20;rising_three;260;15;-0,00740762;0,0159502;-0,976192;0,172225; 
20;rising_three;260;20;-0,0101759;0,0263877;-0,796046;0,219211; 
20;rising_three;260;40;0,0327076;0,0402525;0,277056;0,392759; 
20;rising_three;260;60;0,054297;0,0446501;0,490981;0,315273; 
20;morning_star;30;5;0,00166088;0,00285911;-0,400968;0,344456; 
20;morning_star;30;10;-0,00129278;0,00403316;-1,68465;0,0468807;**
20;morning_star;30;15;-0,00289991;0,00542014;-2,04104;0,0213413;**
20;morning_star;30;20;0,00101164;0,00594708;-1,65095;0,0502316;*
20;morning_star;30;40;0,000684445;0,00883644;-2,36192;0,00961565;***
20;morning_star;30;60;0,00957506;0,0110814;-2,05746;0,0205299;**
20;morning_star;60;5;0,00090064;0,00248635;-0,766845;0,221927; 
20;morning_star;60;10;-0,00010572;0,00354852;-1,5802;0,0576245;*
20;morning_star;60;15;0,000113006;0,00410653;-1,96025;0,0255052;**
20;morning_star;60;20;0,000905937;0,00473929;-2,094;0,0186034;**
20;morning_star;60;40;0,00336994;0,00712842;-2,55112;0,00564906;***
20;morning_star;60;60;0,0148764;0,0091344;-1,91563;0,0282419;**
20;morning_star;130;5;0,00401783;0,00252892;0,478678;0,316273; 
20;morning_star;130;10;0,00466718;0,00337044;-0,247587;0,402319; 
20;morning_star;130;15;0,0047639;0,00388786;-0,874244;0,191371; 
20;morning_star;130;20;0,00669635;0,00471429;-0,876832;0,190669; 
20;morning_star;130;40;0,0129235;0,00701144;-1,23111;0,109663; 
20;morning_star;130;60;0,0245467;0,00903411;-0,866479;0,193489; 
20;morning_star;260;5;0,00310253;0,00248067;0,119018;0,45267; 
20;morning_star;260;10;0,00222453;0,00329494;-0,994596;0,160361; 
20;morning_star;260;15;0,00340032;0,00390703;-1,21896;0,111901; 
20;morning_star;260;20;0,00468307;0,00462264;-1,32974;0,0922984;*
20;morning_star;260;40;0,0095442;0,00654536;-1,83507;0,0337345;**
20;morning_star;260;60;0,020979;0,00845773;-1,34737;0,0894311;*
20;dark_cloud_cover;30;5;-0,010163;0,0012753;-10,1704;1,25257e-023;***
